"TokenNumber","TokenPadded","Title","WorkID","Range","SourceImagePath","SourceBytes","ImagePath","ImageFileName","DestinationImagePath","ItemPage","PublicPageURL","OpenSeaItemURL","Status","Note"
"3001","3001","Light Cult Crypto Club #3001","RE-004811","3001-3100","","","","","","items/lccc-3001.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3001.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3001","MISSING SOURCE IMAGE","No source image found for token #3001"
"3002","3002","Light Cult Crypto Club #3002","RE-004812","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3002.png","38577","images/3001-3100/LCCC-3002.png","LCCC-3002.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3002.png","items/lccc-3002.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3002.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3002","OK",""
"3003","3003","Light Cult Crypto Club #3003","RE-004813","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3003.png","8728","images/3001-3100/LCCC-3003.png","LCCC-3003.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3003.png","items/lccc-3003.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3003.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3003","OK",""
"3004","3004","Light Cult Crypto Club #3004","RE-004814","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3004.png","14979","images/3001-3100/LCCC-3004.png","LCCC-3004.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3004.png","items/lccc-3004.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3004.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3004","OK",""
"3005","3005","Light Cult Crypto Club #3005","RE-004815","3001-3100","","","","","","items/lccc-3005.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3005.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3005","MISSING SOURCE IMAGE","No source image found for token #3005"
"3006","3006","Light Cult Crypto Club #3006","RE-004816","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3006.png","27667","images/3001-3100/LCCC-3006.png","LCCC-3006.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3006.png","items/lccc-3006.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3006.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3006","OK",""
"3007","3007","Light Cult Crypto Club #3007","RE-004817","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3007.png","28993","images/3001-3100/LCCC-3007.png","LCCC-3007.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3007.png","items/lccc-3007.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3007.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3007","OK",""
"3008","3008","Light Cult Crypto Club #3008","RE-004818","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3008.png","33045","images/3001-3100/LCCC-3008.png","LCCC-3008.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3008.png","items/lccc-3008.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3008.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3008","OK",""
"3009","3009","Light Cult Crypto Club #3009","RE-004819","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3009.png","8039","images/3001-3100/LCCC-3009.png","LCCC-3009.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3009.png","items/lccc-3009.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3009.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3009","OK",""
"3010","3010","Light Cult Crypto Club #3010","RE-004820","3001-3100","","","","","","items/lccc-3010.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3010.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3010","MISSING SOURCE IMAGE","No source image found for token #3010"
"3011","3011","Light Cult Crypto Club #3011","RE-004821","3001-3100","D:\github\ron-english-nfts\light-cult-crypto-club\images\LCCC-3011.png","56829","images/3001-3100/LCCC-3011.png","LCCC-3011.png","D:\github\ron-english-light-cult-3001-4000\images\3001-3100\LCCC-3011.png","items/lccc-3011.html","https://ronenglish-archive.github.io/ron-english-light-cult-3001-4000/items/lccc-3011.html","https://opensea.io/item/ethereum/0xbe85fbd182af91290be7293438ae67549638189f/3011","OK",""
